url,twitterUrl,id,text,severity level
https://x.com/dost_pagasa/status/1420500489641226240,https://twitter.com/dost_pagasa/status/1420500489641226240,1420500489641226240,"July 29, 2021 as of 5:30am
Pasig Marikina Tullahan Flood Advisory #3 https://t.co/DeQPZ7oYxs",NOT RELEVANT
https://x.com/dost_pagasa/status/1420323635454111747,https://twitter.com/dost_pagasa/status/1420323635454111747,1420323635454111747,"July 28, 2021 as of 5:30pm
Pasig Marikina Tullahan Flood Advisory #2 https://t.co/ud7bDFh9lU",NOT RELEVANT
https://x.com/PAGASAFFWS/status/1420323496328978438,https://twitter.com/PAGASAFFWS/status/1420323496328978438,1420323496328978438,"July 28, 2021 as of 5:30pm
Pasig Marikina Tullahan Flood Advisory #2 https://t.co/IIowXRTxnP",NOT RELEVANT
https://x.com/dost_pagasa/status/1420141314000048131,https://twitter.com/dost_pagasa/status/1420141314000048131,1420141314000048131,"July 28, 2021 as of 5am
Pasig Marikina Tullahan Flood Advisory #1 https://t.co/yrogj0NQLB",NOT RELEVANT
https://x.com/PAGASAFFWS/status/1420141209197023232,https://twitter.com/PAGASAFFWS/status/1420141209197023232,1420141209197023232,"July 28, 2021 as of 5am
Pasig Marikina Tullahan Flood Advisory #1 https://t.co/Es0Oii3rbW",NOT RELEVANT
https://x.com/bdrrmo/status/1419918550433734657,https://twitter.com/bdrrmo/status/1419918550433734657,1419918550433734657,"RT dost_pagasa: General Flood Advisory #13 Final for Pasig-Marikina River Basin, issued at 9:00 PM, 26 July 2021 https://t.co/YSUmaw9VFC",NOT RELEVANT
https://x.com/dost_pagasa/status/1419639990716297217,https://twitter.com/dost_pagasa/status/1419639990716297217,1419639990716297217,"General Flood Advisory #13 Final for Pasig-Marikina River Basin, issued at 9:00 PM, 26 July 2021 https://t.co/Pi4Kmf24hW",NOT RELEVANT
https://x.com/PAGASAFFWS/status/1419639875763011584,https://twitter.com/PAGASAFFWS/status/1419639875763011584,1419639875763011584,"@dost_pagasa General Flood Advisory #13 Final for Pasig-Marikina River Basin, issued at 9:00 PM, 26 July 2021 https://t.co/Kqgpzvk7D5",NOT RELEVANT
https://x.com/bdrrmo/status/1419556288200069120,https://twitter.com/bdrrmo/status/1419556288200069120,1419556288200069120,"RT dost_pagasa: General Flood Advisory #12 for Pasig-Marikina River Basin, issued at 9:00 AM, 26 July 2021 https://t.co/G0Vx7FNDol",NOT RELEVANT
https://x.com/PAGASAFFWS/status/1419481091639894021,https://twitter.com/PAGASAFFWS/status/1419481091639894021,1419481091639894021,"General Flood Advisory #12 for Pasig-Marikina River Basin, issued at 9:00 AM, 26 July 2021 https://t.co/fNxWFMXfYn",NOT RELEVANT
https://x.com/dost_pagasa/status/1419480754900242434,https://twitter.com/dost_pagasa/status/1419480754900242434,1419480754900242434,"General Flood Advisory #12 for Pasig-Marikina River Basin, issued at 9:00 AM, 26 July 2021 https://t.co/a5ycHc1e6s",NOT RELEVANT
https://x.com/dost_pagasa/status/1419281918135128064,https://twitter.com/dost_pagasa/status/1419281918135128064,1419281918135128064,"Pasig-Marikina Tullahan River Basin
Flood Advisory #11
Issued at 9:00 PM, 25 July 2021 https://t.co/NMNMLq5WeZ",NOT RELEVANT
https://x.com/JulitsVelasco/status/1418973281546350603,https://twitter.com/JulitsVelasco/status/1418973281546350603,1418973281546350603,"Hi friends! Seeking your help.

CALL FOR DONATIONS
for the victims of Typhoon Fabian &amp; Habagat

Help us reach P 100,000 worth of financial and in-kind donations to help flood victims in Marikina, Rizal, and Cavite.

#FabianPH #donate #kalakbay https://t.co/uDWKt0Oy6b",NOT RELEVANT
https://x.com/PAGASAFFWS/status/1418913296397131776,https://twitter.com/PAGASAFFWS/status/1418913296397131776,1418913296397131776,"Pasig-Marikina Tullahan River Basin
Flood Advisory #9 
Issued at 9:00 PM, 24 July 2021 https://t.co/wdA3Sk3Pjz",NOT RELEVANT
https://x.com/brad_feliciano/status/1418845707335782404,https://twitter.com/brad_feliciano/status/1418845707335782404,1418845707335782404,"Growing up in flooded Marikina, wet feet &amp; shoes has become a disgusting feeling; so Facebook Marketplace to the rescue!

What do you think I should wear tomorrow? ❤️
.
.
.
07.24.21
#boots #rainboots #shoecovers #rain #flood #typhoon #philippines #teacher #love #gay 🌈 https://t.co/yPXEdCX4La",NOT RELEVANT
https://x.com/lillybreadd/status/1418754765937283072,https://twitter.com/lillybreadd/status/1418754765937283072,1418754765937283072,LAST YEAR I WAS IN MARIKINA CITY WHEN THAT HORRENDOUS FLOOD HAPPENED WE LITERALLY CLIMBED UP OUR ROOFTOP AND WAIT FOR THE RESCUERS BUT NO ONE CAME.I HOPE IT WON'T HAPPEN AGAIN PLS TAKE CARE EVERYONE. https://t.co/sC8agtJ2GC,SEVERE
https://x.com/TulongKabataan_/status/1418658859925663747,https://twitter.com/TulongKabataan_/status/1418658859925663747,1418658859925663747,"📣CALL FOR DONATIONS 

Tulong Kabataan is calling for in-kind or cash donations to be given to families and individuals who are affected by the flood in Marikina City. 

Sharing your extra resources will come a long way to help the affected families survive in the coming weeks. https://t.co/5WUS3ubkOi",NOT RELEVANT
https://x.com/earthshakerph/status/1418140140828979200,https://twitter.com/earthshakerph/status/1418140140828979200,1418140140828979200,"Marikina River and Flood update!⚠️ 

Source: https://t.co/t9Z9xwMX0S https://t.co/pGI1J2zUrf",NOT RELEVANT
https://x.com/usbetween_/status/1418853292206137353,https://twitter.com/usbetween_/status/1418853292206137353,1418853292206137353,Jogging lang last Sunday sa Marikina River tapos this weekend baha na. Sadt. https://t.co/nsoYu9YuQi,NOT RELEVANT
https://x.com/Julitamc2/status/1418942950160142344,https://twitter.com/Julitamc2/status/1418942950160142344,1418942950160142344,"1984, walang pang dolomite sa MB, may baha na sa Manila. Raissa said it herself.
2021, may dolomite, may baha pa din.
What to do? Come up with the solution.
What Pnoy did with the solution? Canceled. Nagbayad pa.
@raissawriter do you have another solution? https://t.co/mqSwr22v8W",NOT RELEVANT
https://x.com/dost_pagasa/status/1420500489641226240,https://twitter.com/dost_pagasa/status/1420500489641226240,1420500489641226240,"July 29, 2021 as of 5:30am
Pasig Marikina Tullahan Flood Advisory #3 https://t.co/DeQPZ7oYxs",NOT RELEVANT
https://x.com/dost_pagasa/status/1420323635454111747,https://twitter.com/dost_pagasa/status/1420323635454111747,1420323635454111747,"July 28, 2021 as of 5:30pm
Pasig Marikina Tullahan Flood Advisory #2 https://t.co/ud7bDFh9lU",NOT RELEVANT
https://x.com/PAGASAFFWS/status/1420323496328978438,https://twitter.com/PAGASAFFWS/status/1420323496328978438,1420323496328978438,"July 28, 2021 as of 5:30pm
Pasig Marikina Tullahan Flood Advisory #2 https://t.co/IIowXRTxnP",NOT RELEVANT
https://x.com/dost_pagasa/status/1420141314000048131,https://twitter.com/dost_pagasa/status/1420141314000048131,1420141314000048131,"July 28, 2021 as of 5am
Pasig Marikina Tullahan Flood Advisory #1 https://t.co/yrogj0NQLB",NOT RELEVANT
