id,created_at,author_username,author_display_name,url,text,keyword_hits,city_hits,barangay_hits,likes,comments,shares,views,source_file,severity_label
4464554293,2009-09-29T06:31:57.000Z,suzy899,Tin Gamboa 🌻,https://x.com/suzy899/status/4464554293,"RT @liadcruz Still flooded in San Antonio Abad, Maybunga Pasig. Mosquito pop. rising, cars in water, snakes seen in flood. Please help!",flood,Pasig,"Maybunga, San Antonio",0,0,0,,twitter-2009.csv,Moderate
4469597513,2009-09-29T13:18:15.000Z,ABSCBNNews,ABS-CBN News,https://x.com/ABSCBNNews/status/4469597513,[Metro Manila] Hundreds of flood survivors turn up in Malacañang http://bit.ly/16Ihc2,flood,Manila,,0,0,0,,twitter-2009.csv,Severe
4473002682,2009-09-29T15:56:49.000Z,micodelrosario,Mico del Rosario,https://x.com/micodelrosario/status/4473002682,"In marikina ryt now, dust everywhere. Visiting friends who were victims of the flood. So sad",flood,Marikina,,0,0,0,,twitter-2009.csv,Not Relevant
4473870427,2009-09-29T16:34:21.000Z,ishaantharoor,Ishaan Tharoor,https://x.com/ishaantharoor/status/4473870427,my story in TIME on the flood in the Philippines #ondoy #manila,flood,Manila,,0,0,0,,twitter-2009.csv,Not Relevant
4474968602,2009-09-29T17:22:19.000Z,gmanewsbreaking,GMA Integrated News Breaking,https://x.com/gmanewsbreaking/status/4474968602,Special Report : Pinoy ingenuity floating in Pasig flood waters: Call it Filipino ingenuity: Se.. http://bit.ly/WlVT3,flood,Pasig,,0,0,0,,twitter-2009.csv,Not Relevant
4479908458,2009-09-29T21:04:46.000Z,mercnews,Mercury News,https://x.com/mercnews/status/4479908458,"Flood kills 246 in Philippines; survivors seek aid: MANILA, Philippines &mdash; Flood victims trudged through a.. http://bit.ly/GKH9k",flood,Manila,,0,0,0,,twitter-2009.csv,Severe
4485429574,2009-09-30T01:10:47.000Z,mlq3,Manuel L. Quezon III,https://x.com/mlq3/status/4485429574,Filipino employees of International School Manila told even if flood victims they have to work or face salary deduction.,flood,Manila,,0,0,0,,twitter-2009.csv,Not Relevant
4490271091,2009-09-30T04:59:25.000Z,sunstaronline,SunStar Philippines,https://x.com/sunstaronline/status/4490271091,MANILA - Ombudsman urged to form fact-finding committee on effective flood control system under the MMDA,flood,Manila,,0,0,0,,twitter-2009.csv,Not Relevant
4493870853,2009-09-30T10:03:08.000Z,ABSCBNNews,ABS-CBN News,https://x.com/ABSCBNNews/status/4493870853,[Metro Manila] Flood-hit families clamor for more aid in Cainta http://bit.ly/5DOoz,flood,Manila,,0,0,0,,twitter-2009.csv,Moderate
4495883656,2009-09-30T12:32:33.000Z,officialmiriamq,Miriam Quiambao,https://x.com/officialmiriamq/status/4495883656,"RT: @gelfish92 GREENWOODS CAINTA/PASIG AREA!  4days ng baha, til now no help yet. Please RT & help them. http://pic.gd/12c4c2",baha,Pasig,,0,0,0,,twitter-2009.csv,Severe
4496834734,2009-09-30T13:24:59.000Z,ReneCC,Rene Suhardono,https://x.com/ReneCC/status/4496834734,My family in Manila r experiencing one of the worst flood in history. One cousin got her house 3m BELOW water level.,flood,Manila,,0,0,0,,twitter-2009.csv,Severe
