url,twitterUrl,id,text,retweetCount,replyCount,likeCount,quoteCount,createdAt,bookmarkCount,isRetweet,isQuote,SEVERITY LEVEL
https://x.com/zrnalxs/status/1322872373196980224,https://twitter.com/zrnalxs/status/1322872373196980224,1322872373196980224,"I have never known the concept of ""baha"" until I've seen the furry of Ondoy in Manila because it never flooded in Marinduque. Because of #TyphoonRollyPH, this is the first time I've seen flash floods in my province.",0,1,14,0,Sun Nov 01 12:05:26 +0000 2020,0,FALSE,FALSE,NOT RELEVANT
https://x.com/the_pearl_lover/status/1322368214953730048,https://twitter.com/the_pearl_lover/status/1322368214953730048,1322368214953730048,"@G_A_Cabreros @mrsunlawyer Gem, please take care!Manila is very dangerous for now.Storm surge that is tsunami like can be scary.

The airport in Tacloban is sorrounded by bodies of water.Akala nila storm surge baha, d nila inakala na mala tsunami siya.Villages around the airport reported alot of casualties",0,1,2,0,Sat Oct 31 02:42:05 +0000 2020,0,FALSE,FALSE,NOT RELEVANT
https://x.com/mapakalamidad/status/1322493394036219905,https://twitter.com/mapakalamidad/status/1322493394036219905,1322493394036219905,Super Typhoon Goni is quickly approaching Metro Manila and Central Luzon! Help save lives by submitting a flood report near you. Tweet #flood or #baha to @mapakalamidad to share real-time flood information near you. #ReducingRiskTogether #RollyPH https://t.co/52Nkpsahjq,80,30,834,13,Sat Oct 31 10:59:30 +0000 2020,4,FALSE,FALSE,NOT RELEVANT
https://x.com/maybahaba/status/1322733252159918082,https://twitter.com/maybahaba/status/1322733252159918082,1322733252159918082,"RT @bobreyes: Metro Manila is now under Signal #4 as of 8AM. 

Projection from Weather Underground shows #RollyPH hitting the vicinity of Lemery, Batangas tonight at 8PM. 
#WeatherPH #MayBahaBa #MayBagyoBa https://t.co/ie0lzAKTKo",0,0,0,1,Sun Nov 01 02:52:37 +0000 2020,1,FALSE,FALSE,NOT RELEVANT
https://x.com/MarkJustMark/status/1323072813775810560,https://twitter.com/MarkJustMark/status/1323072813775810560,1323072813775810560,"@TDotGinger There are a lot of areas that get hit really bad here. For Metro Manila, the main problem is flooding. Surprisingly, though, some areas in my city were flood-free yesterday.",0,1,1,0,Mon Nov 02 01:21:54 +0000 2020,0,FALSE,FALSE,NOT RELEVANT
https://x.com/TheManilaTimes/status/1322751225285267456,https://twitter.com/TheManilaTimes/status/1322751225285267456,1322751225285267456,THE city government of Manila started the forced evacuation of residents in flood-prone areas shortly after the weather bureau hoisted Typhoon Signal Number 4 in Metro Manila. Mayor Francisco “Isko Moreno” Domagoso ordered the evacuation of residents in... https://t.co/0ZGC1rLGcC,0,0,0,0,Sun Nov 01 04:04:02 +0000 2020,0,FALSE,FALSE,SEVERE
https://x.com/Armageddan_/status/1322837532191584257,https://twitter.com/Armageddan_/status/1322837532191584257,1322837532191584257,"No flood threateninv rains so far, atleast sa area namin dito sa Manila...
But the wind is battering.",0,0,0,0,Sun Nov 01 09:46:59 +0000 2020,0,FALSE,FALSE,NOT RELEVANT
https://x.com/tinstax/status/1322424895339257865,https://twitter.com/tinstax/status/1322424895339257865,1322424895339257865,"santi/mirinae (2009): 11 years ago may bagyong dumaan sa metro manila.

not as strong as milenyo and not an ondoy-level rainmaker, but still powerful enough to knock power out &amp; flood our house again, just days after the flood from ondoy receded. the water would stay til november",0,1,0,0,Sat Oct 31 06:27:19 +0000 2020,0,FALSE,FALSE,NOT RELEVANT
https://x.com/jpsoriano/status/1323679035369480193,https://twitter.com/jpsoriano/status/1323679035369480193,1323679035369480193,"JUST IN: FCDO Minister for Asia, Nigel Adams through the British Embassy in Manila announced, UK will contribute a total of £1 million (Over P63 M) to help victims of Typhoon Rolly in the Philippines &amp; flood victims in Vietnam .@gmanews @gmanewsbreaking https://t.co/YzOVeM4Czg",4,0,32,3,Tue Nov 03 17:30:49 +0000 2020,0,FALSE,FALSE,NOT RELEVANT
https://x.com/PIACaraga/status/1323535692211789825,https://twitter.com/PIACaraga/status/1323535692211789825,1323535692211789825,"No major flooding was reported on the streets of Metro Manila following the downpour brought by typhoon “Rolly” can be attributed to the MMDA’s flood control measures.
Read more:
https://t.co/sIGSBW17R5
#InformInformInform #LagingHanda",0,0,0,0,Tue Nov 03 08:01:13 +0000 2020,0,FALSE,FALSE,NOT RELEVANT
