url,twitterUrl,text,imageSeverity
https://x.com/senjosefff/status/1322536331130531840,https://twitter.com/senjosefff/status/1322536331130531840,"That's in our rest house in Rizal. Need to evacuate than to be sorry later on, takot sa baha in Marikina. 😅",NOT RELEVANT
https://x.com/yzaexists/status/1322818421847851008,https://twitter.com/yzaexists/status/1322818421847851008,I was in high school when Ondoy devastated Pasig. Poor government planning was so apparent that the flood lasted a month after the typhoon hit. Mediocre makeshift wood bridges were built and people were using boats all over.,NOT RELEVANT
https://x.com/iloveyooksomuch/status/1322764507840540672,https://twitter.com/iloveyooksomuch/status/1322764507840540672,"I'm here in Pasig right now, our place in Nueva Ecija is a flood zone area. Stay safe everyone! Stay safe Melodies!💙",NOT RELEVANT
https://x.com/dost_pagasa/status/1322734752776908800,https://twitter.com/dost_pagasa/status/1322734752776908800,"Flood Advisory for Pasig-Marikina &amp; Tullahan River Basins, issued at 10:30 AM, 01 November 2020 https://t.co/dg4bU0yMSh",NOT RELEVANT
https://x.com/PAGASAFFWS/status/1322734112361181187,https://twitter.com/PAGASAFFWS/status/1322734112361181187,"Flood Advisory for Pasig-Marikina &amp; Tullahan River Basins, issued at 10:30 AM, 01 November 2020 https://t.co/2eDnjsipWr",NOT RELEVANT
https://x.com/minaxone/status/1322607309386776576,https://twitter.com/minaxone/status/1322607309386776576,"we are now on signal#3?????? wth now I'm really worried,, its been a long time since were in a signal no.3 plus our house is near the Pasig river (literally 10 steps away) please no flood and all, keep safe everyone 😔🙌",NOT RELEVANT
https://x.com/sobejanaclaire/status/1322838291993956352,https://twitter.com/sobejanaclaire/status/1322838291993956352,"Yes ✔... I have seen this earlier and it's impressive 👌👌👌
Wish you could take a pics in one of the depressed City's here "" Marikina City "" .... flood water to the Rooftops  💔 Terrible 😣",NOT RELEVANT
https://x.com/brrr_baaaSVT/status/1322827045202657280,https://twitter.com/brrr_baaaSVT/status/1322827045202657280,@mitzijonelle I was Grade 1 when typhoon Ondoy hit QC. My mom was busy packing things. Naalala ko nun 'yung underpass for cars was full of water and natagalan sa pag-drain nun. My classmate from Marikina was badly affected by the flood.,NOT RELEVANT
https://x.com/annabining/status/1322720690806534144,https://twitter.com/annabining/status/1322720690806534144,"Signal no. 4 now on Metro Manila. Any news about Marikina River??? I'm not that far from the river and the place where I live doesn't flood unless it overflows. Thus, this is still scaring me.",NOT RELEVANT
https://x.com/seulkaitae/status/1322490021736144897,https://twitter.com/seulkaitae/status/1322490021736144897,@EroTaeKai aww! be extra safe hah. mataas din lugar namin. we're not near marikina river naman so we're good. we're closer to antipolo so mataas sya. the problem is pag may flood everywhere else mahirap makapunta samin.,NOT RELEVANT
